name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
sylhet bangladesh,2022-05-01,29.5,15.4,24.6,33.1,15.4,25.6,21.5,83.5,22.0,100,12.5,rain,0,0.0,26.3,8.6,55.4,1006.0,57.3,18.8,215.7,18.6,8,30.0,2022-05-01T05:17:15,2022-05-01T18:22:24,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-02,27.8,16.4,23.1,30.7,16.4,23.6,20.7,86.6,20.0,100,8.33,rain,0,0.0,22.3,9.7,56.8,1007.1,59.1,18.8,193.6,16.5,7,30.0,2022-05-02T05:16:31,2022-05-02T18:22:53,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-03,29.1,17.1,24.3,32.3,17.1,24.8,21.0,82.7,0.2,100,4.17,rain,0,0.0,24.1,7.2,36.7,1007.7,66.5,18.2,204.9,17.9,7,30.0,2022-05-03T05:15:48,2022-05-03T18:23:23,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-04,29.9,15.1,24.1,33.3,15.1,25.2,21.1,84.0,8.0,100,4.17,rain,0,0.0,24.8,5.8,70.8,1009.1,52.7,19.0,226.2,19.5,8,30.0,2022-05-04T05:15:07,2022-05-04T18:23:53,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-05,31.2,15.9,25.0,35.4,15.9,26.4,21.7,82.9,12.0,100,8.33,rain,0,0.0,21.2,6.8,51.7,1007.7,45.3,18.7,263.0,23.0,8,30.0,2022-05-05T05:14:26,2022-05-05T18:24:23,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-06,32.0,18.1,26.1,36.7,18.1,27.9,22.4,80.9,0.1,100,4.17,rain,0,0.0,22.0,6.1,53.8,1007.2,51.9,17.3,257.7,22.4,9,30.0,2022-05-06T05:13:46,2022-05-06T18:24:53,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-07,31.9,17.4,26.3,37.8,17.4,28.3,22.2,79.1,0.5,100,4.17,rain,0,0.0,20.2,5.8,18.4,1006.6,27.2,18.8,257.0,22.3,9,30.0,2022-05-07T05:13:07,2022-05-07T18:25:24,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-08,34.6,18.1,27.3,39.8,18.1,29.4,22.2,75.1,0.6,100,4.17,rain,0,0.0,18.7,5.0,10.7,1005.9,22.6,18.8,293.4,25.4,9,10.0,2022-05-08T05:12:29,2022-05-08T18:25:54,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-09,30.5,18.4,25.8,36.1,18.4,27.4,22.4,81.9,7.0,100,4.17,rain,0,0.0,14.0,5.4,97.9,1007.3,76.5,18.6,97.7,8.6,4,10.0,2022-05-09T05:11:53,2022-05-09T18:26:24,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-10,26.0,20.4,24.0,26.0,20.4,24.0,22.7,92.4,0.2,100,4.17,rain,0,0.0,23.0,6.8,42.7,1007.8,97.6,9.9,34.9,3.0,1,10.0,2022-05-10T05:11:17,2022-05-10T18:26:55,0.31,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"42618099999,42515099999,remote,42516099999"
